clarity_id,metric,metric_year,provider_code,clarity_industry_code,clarity_industry_name,country_code,co2directscope1_raw,revenue,co2directscope1_intensity,verification_co2directscope1,targets_emissions,policy_emissions,sbti_alignment,nz_statement
01FF543W5962JGP9DPW1YSBTS6,CO2DIRECTSCOPE1,2022,TRC8,20102010/0,Building Products,JP,75325140.0,3461812.538608802,21.758873179848987,100,100,100,,100
01FF543VP2HD6CE14NKNVM7G1F,CO2DIRECTSCOPE1,2019,TRC8,15101010/0,Commodity Chemicals,GB,1280227.4999999998,155515.94241146158,8.232130289335831,100,100,100,,100
01FF543VXS917HJBZT5DCJPV71,CO2DIRECTSCOPE1,2015,TRC1,20106020/0,Industrial Machinery & Supplies & Components,JP,10176486.352500001,1213194.0697519383,8.388176802233122,,100,100,,1
01FF543TBXQ5HK9AZ7Y78ZWJ0J,CO2DIRECTSCOPE1,2020,TRC8,45203015/0,Electronic Components,JP,4299265.0,779717.2375221568,5.513877073774235,100,100,100,100,1
01FF543S1930FG2QJ51BMDDEXJ,CO2DIRECTSCOPE1,2013,TRC1,25504050/0,Automotive Retail,GB,2585866.6,137437.10643634028,18.814908630208624,,100,100,100,
01FF543W6WPZSCHSGWRRA5HGHQ,CO2DIRECTSCOPE1,2018,TRC1,40101010/0,Diversified Banks,SE,127256.6,852447.3887786986,0.14928381701341187,100,100,100,1,100
01FF543V2BZMJ28MZ3GEFKGE5S,CO2DIRECTSCOPE1,2010,TRC1,40203010/0,Asset Management & Custody Banks,GB,87852.375,71802.66754137177,1.2235252255688216,,100,100,1,100
01FF543WDNVRAZBPN0DW958WZZ,CO2DIRECTSCOPE1,2013,TRC1,15105020/0,Paper Products,JP,636903030.625,1034553.4758971488,615.6308450587221,,100,100,,100
01FF543RYTVKSGR225KMB7JHC9,CO2DIRECTSCOPE1,2011,TRC1,20201050/0,Environmental & Facilities Services,GB,1035992.4749999999,71487.11735437674,14.49201637078701,,100,100,100,1
01FF543SAW0WFWBASSGP1ZVSJF,CO2DIRECTSCOPE1,2022,TRC8,30101040/0,Consumer Staples Merchandise Retail,MX,111299765.0,5094900.090845484,21.845328272478472,,100,100,,100
01FF543RKSW75SSQ2Q9TW38HHC,CO2DIRECTSCOPE1,2018,TRC1,20103010/0,Construction & Engineering,ES,372901861.1625013,5411178.149150864,68.9132478887279,,100,1,,1
01FF543WKGJBP4W6TZA0NGPGVS,CO2DIRECTSCOPE1,2019,TRC1,35101020/0,Health Care Supplies,DK,1569560.3875,338845.5518684367,4.632082017442012,100,100,100,100,1
01FF543VVP6Q5B2DTXZPJS3NBR,CO2DIRECTSCOPE1,2017,TRC1,40101010/0,Diversified Banks,BR,1492238.4623597001,6722661.963947095,0.22197136645608728,,100,100,1,1
01FF543S347642B6AFVHTPPG93,CO2DIRECTSCOPE1,2020,TRC1,20106020/0,Industrial Machinery & Supplies & Components,NO,2451767.5,132417.0911195541,18.51549131060731,1,100,100,1,1
01FF543V6JSJH350Z0B3S8GZYQ,CO2DIRECTSCOPE1,2017,TRC1,30201020/0,Distillers & Vintners,US,29697012.5875,916315.0,32.4091743423386,,1,1,,1
